log_id,order_id,pickup_time,delivery_time
1,1,2025-05-16 00:30:00,2025-05-16 01:19:00
2,2,2025-05-08 00:20:00,2025-05-08 00:45:00
3,3,2025-04-22 00:17:00,2025-04-22 01:23:00
4,4,2025-04-25 00:19:00,2025-04-25 00:54:00
5,5,2025-04-20 00:16:00,2025-04-20 00:49:00
6,6,2025-04-23 00:10:00,2025-04-23 00:42:00
7,7,2025-05-14 00:17:00,2025-05-14 01:10:00
8,8,2025-04-29 00:29:00,2025-04-29 01:29:00
9,9,2025-05-07 00:12:00,2025-05-07 01:09:00
10,10,2025-05-09 00:23:00,2025-05-09 01:20:00
11,11,2025-05-11 00:28:00,2025-05-11 00:52:00
12,12,2025-05-05 00:22:00,2025-05-05 01:11:00
13,13,2025-04-26 00:22:00,2025-04-26 00:55:00
14,14,2025-05-06 00:14:00,2025-05-06 01:21:00
15,15,2025-05-04 00:10:00,2025-05-04 01:28:00
16,16,2025-05-04 00:13:00,2025-05-04 01:29:00
17,17,2025-05-16 00:23:00,2025-05-16 00:54:00
18,18,2025-05-17 00:15:00,2025-05-17 01:24:00
19,19,2025-04-23 00:26:00,2025-04-23 01:09:00
20,20,2025-04-21 00:11:00,2025-04-21 01:15:00
21,21,2025-04-26 00:17:00,2025-04-26 00:47:00
22,22,2025-04-26 00:24:00,2025-04-26 00:48:00
23,23,2025-05-18 00:24:00,2025-05-18 01:22:00
24,24,2025-04-21 00:26:00,2025-04-21 01:15:00
25,25,2025-04-22 00:29:00,2025-04-22 01:00:00
26,26,2025-05-02 00:24:00,2025-05-02 01:19:00
27,27,2025-05-10 00:26:00,2025-05-10 01:07:00
28,28,2025-05-09 00:27:00,2025-05-09 01:08:00
29,29,2025-05-12 00:15:00,2025-05-12 01:27:00
30,30,2025-05-18 00:25:00,2025-05-18 01:08:00
