payment_id,order_id,amount,payment_method,payment_date
1,1,286.72,Card,2025-05-16
2,2,476.55,Card,2025-05-08
3,3,549.12,Cash,2025-04-22
4,4,292.52,Cash,2025-04-25
5,5,352.06,UPI,2025-04-20
6,6,767.03,UPI,2025-04-23
7,7,615.94,Cash,2025-05-14
8,8,749.49,Cash,2025-04-29
9,9,789.63,UPI,2025-05-07
10,10,491.38,UPI,2025-05-09
11,11,959.1,Card,2025-05-11
12,12,698.52,Cash,2025-05-05
13,13,878.41,Cash,2025-04-26
14,14,920.04,Cash,2025-05-06
15,15,447.43,Card,2025-05-04
16,16,460.95,Cash,2025-05-04
17,17,436.52,UPI,2025-05-16
18,18,353.47,Cash,2025-05-17
19,19,952.29,Cash,2025-04-23
20,20,798.51,UPI,2025-04-21
21,21,692.41,Card,2025-04-26
22,22,524.86,UPI,2025-04-26
23,23,443.1,UPI,2025-05-18
24,24,543.91,Cash,2025-04-21
25,25,685.33,Card,2025-04-22
26,26,571.99,Card,2025-05-02
27,27,740.5,Cash,2025-05-10
28,28,578.55,Cash,2025-05-09
29,29,335.75,UPI,2025-05-12
30,30,427.03,Cash,2025-05-18
